"","address","charging","engineType","exterior","fuel","interior","name","smartPhoneRequired","vin","City","Longitude","Latitude","Altitude","Time....Sys.time..","zip"
"1149","Durwood St 2598, 78704 Austin",NA,"CE","UNACCEPTABLE",100,"UNACCEPTABLE","FBV 4470",FALSE,"WMEEJ3BA5FK802424","austin",-97.75957,30.23871,0,"2015-12-07 13:55:47","78704"
"1350","Dean Keaton and Whitis",NA,"CE","GOOD",27,"GOOD","FBV 4357",FALSE,"WMEEJ3BA8FK798160","austin",-97.74003,30.28978,0,"2015-12-07 14:00:47","78705"
"1505","W 4th St 115, 78701 Austin",NA,"CE","GOOD",33,"UNACCEPTABLE","FHB 2825",FALSE,"WMEEJ3BA4FK802818","austin",-97.74445,30.26645,0,"2015-12-07 14:05:47","78701"
"1591","San Antonio St 2147, 78705 Austin",NA,"CE","GOOD",24,"GOOD","CK9 T283",FALSE,"WMEEJ3BA3AK417209","austin",-97.74259,30.28443,0,"2015-12-07 14:05:47","78705"
"1766","W 3rd St 225, 78701 Austin",NA,"CE","GOOD",39,"GOOD","CZS 9746",FALSE,"WMEEJ3BA2EK748448","austin",-97.74543,30.26556,0,"2015-12-07 14:05:47","78701"
"1811","Elizabeth St W 429, 78704 Austin",NA,"CE","GOOD",78,"GOOD","CSG 1513",FALSE,"WMEEJ3BAXEK736693","austin",-97.75335,30.24984,0,"2015-12-07 14:10:47","78704"
"2018","E 7th St 231, 78701 Austin",NA,"CE","GOOD",36,"GOOD","CSG 1543",FALSE,"WMEEJ3BA7EK734643","austin",-97.74083,30.26845,0,"2015-12-07 14:10:47","78701"
"2055","Campbell St 564, 78703 Austin",NA,"CE","GOOD",100,"GOOD","FGZ 9137",FALSE,"WMEEJ3BA1FK802176","austin",-97.76447,30.27552,0,"2015-12-07 14:10:47","78703"
"2139","Brazos St 575, 78701 Austin",NA,"CE","GOOD",87,"GOOD","FBV 4358",FALSE,"WMEEJ3BA2FK798395","austin",-97.7415,30.26747,0,"2015-12-07 14:15:47","78701"
"2152","2nd and Colorado",NA,"CE","UNACCEPTABLE",72,"UNACCEPTABLE","CSF 8920",FALSE,"WMEEJ3BA8EK733792","austin",-97.74578,30.26481,0,"2015-12-07 14:15:47","78701"
"2172","Parker Ln 1507, 78741 Austin",NA,"CE","GOOD",51,"GOOD","CK9 T262",FALSE,"WMEEJ3BA1AK418066","austin",-97.73106,30.24075,0,"2015-12-07 14:15:47","78741"
"2281","Willow Hill Dr 2533, 78741 Austin",NA,"CE","GOOD",45,"GOOD","FGZ 8813",FALSE,"WMEEJ3BA8FK802417","austin",-97.72494,30.23312,0,"2015-12-07 14:15:47","78741"
"2306","Randolph Rd 3436, 78722 Austin",NA,"CE","GOOD",84,"GOOD","FBV 4369",FALSE,"WMEEJ3BA7FK799204","austin",-97.71141,30.28699,0,"2015-12-07 14:15:47","78722"
"2351","Toomey Rd 1626, 78704 Austin",NA,"CE","GOOD",21,"GOOD","CSG 1542",FALSE,"WMEEJ3BA2EK733240","austin",-97.76026,30.26431,0,"2015-12-07 14:15:47","78704"
"2361","San Antonio St 250, 78701 Austin",NA,"CE","GOOD",54,"GOOD","FGZ 8689",FALSE,"WMEEJ3BAXFK802161","austin",-97.74861,30.26612,0,"2015-12-07 14:15:47","78701"
"2434","Sterzing St 436, 78704 Austin",NA,"CE","GOOD",72,"GOOD","CSF 8935",FALSE,"WMEEJ3BA5EK734592","austin",-97.76323,30.26448,0,"2015-12-07 14:20:47","78704"
"2461","Nickerson St 1756, 78704 Austin",NA,"CE","GOOD",100,"GOOD","FHB 2867",FALSE,"WMEEJ3BA3FK802535","austin",-97.74971,30.246,0,"2015-12-07 14:20:47","78704"
"2515","Medina St 678, 78702 Austin",NA,"CE","GOOD",42,"GOOD","FJC 9788",FALSE,"WMEEJ3BA6FK802318","austin",-97.73121,30.2655,0,"2015-12-07 14:20:47","78702"
"2517","Dean Keaton and Whitis",NA,"CE","GOOD",72,"GOOD","FBV 4379",FALSE,"WMEEJ3BA7FK799235","austin",-97.74003,30.28978,0,"2015-12-07 14:20:47","78705"
"2712","W 5th St 145, 78701 Austin",NA,"CE","GOOD",69,"GOOD","FJD 0199",FALSE,"WMEEJ3BA3FK802874","austin",-97.74375,30.26728,0,"2015-12-07 14:25:47","78701"
"2734","Brazos St 574, 78701 Austin",NA,"CE","GOOD",42,"GOOD","CSF 8919",FALSE,"WMEEJ3BA0EK733883","austin",-97.7416,30.2675,0,"2015-12-07 14:25:47","78701"
"2803","S Pleasant Valley Rd 1237, 78741 Austin",NA,"CE","GOOD",100,"GOOD","FHB 2847",FALSE,"WMEEJ3BA4FK802009","austin",-97.718,30.23987,0,"2015-12-07 14:25:47","78741"
"2846","S Congress Ave 2004, 78704 Austin",NA,"CE","GOOD",15,"GOOD","FBV 4367",FALSE,"WMEEJ3BA4FK799757","austin",-97.75191,30.24397,0,"2015-12-07 14:25:47","78704"
"2852","Brazos St 748, 78701 Austin",NA,"CE","GOOD",75,"GOOD","FBV 4433",FALSE,"WMEEJ3BAXFK799391","austin",-97.741,30.26912,0,"2015-12-07 14:25:47","78701"
"3014","Wood Hollow Dr 7136, 78731 Austin",NA,"CE","UNACCEPTABLE",33,"UNACCEPTABLE","FJD 0195",FALSE,"WMEEJ3BA6FK801721","austin",-97.75268,30.35413,0,"2015-12-07 14:30:47","78731"
"3046","Clay Ave 5470, 78756 Austin",NA,"CE","GOOD",21,"GOOD","FBV 4474",FALSE,"WMEEJ3BA1FK802940","austin",-97.73943,30.32841,0,"2015-12-07 14:30:47","78756"
"3049","W 46th St 864, 78751 Austin",NA,"CE","GOOD",100,"GOOD","FHB 2844",FALSE,"WMEEJ3BA0FK801990","austin",-97.73518,30.31512,0,"2015-12-07 14:30:47","78751"
"3057","Tonkawa Trl 3801, 78756 Austin",NA,"CE","UNACCEPTABLE",51,"UNACCEPTABLE","CSF 9200",FALSE,"WMEEJ3BA4EK734941","austin",-97.74627,30.30629,0,"2015-12-07 14:30:47","78756"
"3215","The LINK",NA,"CE","GOOD",69,"GOOD","FHB 2870",FALSE,"WMEEJ3BA0FK802654","austin",-97.72344,30.2389,0,"2015-12-07 14:30:47","78741"
"3216","6th St S 2034, 78704 Austin",NA,"CE","GOOD",48,"GOOD","CSF 9066",FALSE,"WMEEJ3BA9EK733235","austin",-97.76394,30.24762,0,"2015-12-07 14:30:47","78704"
"3238","Blanco St 616, 78703 Austin",NA,"CE","GOOD",15,"GOOD","FHB 1332",FALSE,"WMEEJ3BAXFK801057","austin",-97.75639,30.27386,0,"2015-12-07 14:30:47","78703"
"3312","Colorado St 368, 78701 Austin",NA,"CE","GOOD",54,"GOOD","FGZ 8624",FALSE,"WMEEJ3BA5FK802777","austin",-97.74501,30.26629,0,"2015-12-07 14:35:48","78701"
"3381","Lafayette Ave 3226, 78722 Austin",NA,"CE","GOOD",24,"GOOD","CK9 T283",FALSE,"WMEEJ3BA3AK417209","austin",-97.71949,30.28848,0,"2015-12-07 14:35:48","78722"
"3498","W 2nd St 220, 78701 Austin",NA,"CE","GOOD",72,"GOOD","CZS 9749",FALSE,"WMEEJ3BA2EK748112","austin",-97.74571,30.26479,0,"2015-12-07 14:35:48","78701"
"3523","Barbara Jordan Blvd 1247, 78723 Austin",NA,"CE","GOOD",69,"GOOD","FGZ 8625",FALSE,"WMEEJ3BA2FK802588","austin",-97.70861,30.30588,0,"2015-12-07 14:35:48","78723"
"3658","N Lamar Blvd 4406, 78756 Austin",NA,"CE","GOOD",39,"GOOD","FBV 4376",FALSE,"WMEEJ3BA9FK800031","austin",-97.73882,30.31278,0,"2015-12-07 14:40:48","78756"
"3667","W 5th St 173, 78701 Austin",NA,"CE","GOOD",60,"GOOD","FJC 9787",FALSE,"WMEEJ3BA7FK802439","austin",-97.74413,30.26737,0,"2015-12-07 14:40:48","78701"
"3819","Eastside Dr 1632, 78704 Austin",NA,"CE","GOOD",45,"GOOD","CZT 0916",FALSE,"WMEEJ3BA5EK748332","austin",-97.74533,30.24587,0,"2015-12-07 14:40:48","78704"
"3821","Brazos St 566, 78701 Austin",NA,"CE","GOOD",96,"GOOD","CZT 1027",FALSE,"WMEEJ3BA9EK748267","austin",-97.74157,30.2674,0,"2015-12-07 14:40:48","78701"
"4035","Genard St 577, 78751 Austin",NA,"CE","GOOD",100,"GOOD","FBV 4389",FALSE,"WMEEJ3BA0FK799335","austin",-97.7273,30.31911,0,"2015-12-07 14:45:48","78751"
"4052","Congress Ave 556, 78701 Austin",NA,"CE","GOOD",66,"GOOD","FHB 0205",FALSE,"WMEEJ3BA9FK802183","austin",-97.74301,30.26774,0,"2015-12-07 14:45:48","78701"
"4111","Monroe St W 127, 78704 Austin",NA,"CE","GOOD",45,"GOOD","CSF 9066",FALSE,"WMEEJ3BA9EK733235","austin",-97.75059,30.24802,0,"2015-12-07 14:45:48","78704"
"4233","E 4th St 2769, 78702 Austin",NA,"CE","GOOD",100,"GOOD","CK9 T285",FALSE,"WMEEJ3BA6AK417916","austin",-97.71178,30.25562,0,"2015-12-07 14:50:48","78702"
"4287","E 4th St 347, 78701 Austin",NA,"CE","GOOD",100,"GOOD","CZS 9748",FALSE,"WMEEJ3BA4EK748175","austin",-97.74061,30.26533,0,"2015-12-07 14:50:48","78701"
"4309","Willowrun Dr 3481, 78704 Austin",NA,"CE","GOOD",90,"GOOD","CSF 9063",FALSE,"WMEEJ3BA4EK733319","austin",-97.75348,30.22562,0,"2015-12-07 14:50:48","78704"
"4335","Merle Dr 4476, 78745 Austin",NA,"CE","UNACCEPTABLE",66,"GOOD","FBV 4493",FALSE,"WMEEJ3BA7FK802330","austin",-97.78817,30.228,0,"2015-12-07 14:50:48","78745"
"4436","San Marcos St 662, 78702 Austin",NA,"CE","GOOD",100,"GOOD","FGZ 8804",FALSE,"WMEEJ3BA6FK800374","austin",-97.73229,30.26573,0,"2015-12-07 14:50:48","78702"
"4445","E 41st St 903, 78751 Austin",NA,"CE","GOOD",51,"GOOD","FHB 2840",FALSE,"WMEEJ3BA4FK801815","austin",-97.72192,30.29924,0,"2015-12-07 14:50:48","78751"
"4464","Anken Dr 2419, 78741 Austin",NA,"CE","GOOD",75,"GOOD","FGZ 8811",FALSE,"WMEEJ3BAXFK802287","austin",-97.72849,30.23066,0,"2015-12-07 14:50:48","78741"
"4636","Rosewood Ave 1344, 78702 Austin",NA,"CE","GOOD",66,"GOOD","FHB 1336",FALSE,"WMEEJ3BA0FK800404","austin",-97.72502,30.26879,0,"2015-12-07 14:55:48","78702"
"4669","W 6th St 919, 78703 Austin",NA,"CE","GOOD",54,"GOOD","FHB 2862",FALSE,"WMEEJ3BA1FK802274","austin",-97.75366,30.27085,0,"2015-12-07 14:55:48","78703"
"4695","Griffis SoCo Apartments",NA,"CE","GOOD",69,"GOOD","FGZ 8846",FALSE,"WMEEJ3BA4FK802883","austin",-97.77117,30.20285,0,"2015-12-07 14:55:48","78745"
"4702","Harmon Ave 4638, 78751 Austin",NA,"CE","GOOD",100,"GOOD","FBV 4368",FALSE,"WMEEJ3BA8FK799213","austin",-97.71528,30.30515,0,"2015-12-07 14:55:48","78751"
"4856","Avenue A 4336, 78751 Austin",NA,"CE","UNACCEPTABLE",48,"UNACCEPTABLE","CSF 9200",FALSE,"WMEEJ3BA4EK734941","austin",-97.73319,30.30862,0,"2015-12-07 15:00:48","78751"
"4945","Crestview Station",NA,"CE","GOOD",42,"GOOD","CZT 0936",FALSE,"WMEEJ3BAXEK748911","austin",-97.71947,30.33886,0,"2015-12-07 15:00:48","78752"
"5091","W 3rd St 253, 78701 Austin",NA,"CE","GOOD",30,"UNACCEPTABLE","FBV 4391",FALSE,"WMEEJ3BA0FK799271","austin",-97.74573,30.26579,0,"2015-12-07 15:05:48","78701"
"5144","Guadalupe St 2310, 78705 Austin",NA,"CE","GOOD",21,"GOOD","FBV 4474",FALSE,"WMEEJ3BA1FK802940","austin",-97.74168,30.28678,0,"2015-12-07 15:05:48","78705"
"5196","Calles St 632, 78702 Austin",NA,"CE","GOOD",100,"GOOD","FHB 1679",FALSE,"WMEEJ3BA9FK802278","austin",-97.71215,30.25953,0,"2015-12-07 15:05:48","78702"
"5299","Copeland St 744, 78704 Austin",NA,"CE","GOOD",100,"GOOD","CSG 2236",FALSE,"WMEEJ3BA8EK736207","austin",-97.75378,30.25368,0,"2015-12-07 15:05:48","78704"
"5349","Lyons Rd 2731, 78702 Austin",NA,"CE","GOOD",93,"GOOD","FJC 9930",FALSE,"WMEEJ3BA4FK801328","austin",-97.70868,30.26423,0,"2015-12-07 15:05:48","78702"
"5359","Raintree Blvd 4626, 78745 Austin",NA,"CE","GOOD",100,"GOOD","FHB 2859",FALSE,"WMEEJ3BA4FK801975","austin",-97.77683,30.21817,0,"2015-12-07 15:05:48","78745"
"5397","W 5th St 339, 78701 Austin",NA,"CE","GOOD",30,"UNACCEPTABLE","FBV 4391",FALSE,"WMEEJ3BA0FK799271","austin",-97.74634,30.26792,0,"2015-12-07 15:10:48","78701"
"5478","W 4th St 215, 78701 Austin",NA,"CE","GOOD",42,"GOOD","CZS 9750",FALSE,"WMEEJ3BA7EK748543","austin",-97.74558,30.26685,0,"2015-12-07 15:10:48","78701"
"5617","Whitis Ave 2664, 78705 Austin",NA,"CE","GOOD",69,"GOOD","FBV 4393",FALSE,"WMEEJ3BA2FK799241","austin",-97.74003,30.29169,0,"2015-12-07 15:10:48","78705"
"5733","Lavaca St 722, 78701 Austin",NA,"CE","GOOD",69,"GOOD","FBV 4468",FALSE,"WMEEJ3BA2FK802378","austin",-97.74484,30.2699,0,"2015-12-07 15:15:48","78701"
"5744","One Highland Center",NA,"CE","GOOD",24,"GOOD","FGZ 8629",FALSE,"WMEEJ3BA9FK802300","austin",-97.71164,30.32867,0,"2015-12-07 15:15:48","78752"
"5795","Caswell Ave 4978, 78751 Austin",NA,"CE","GOOD",21,"GOOD","CK9 T283",FALSE,"WMEEJ3BA3AK417209","austin",-97.71714,30.31132,0,"2015-12-07 15:15:48","78751"
"5815","Wallingwood Dr 2441, 78746 Austin",NA,"CE","GOOD",66,"GOOD","CSF 8933",FALSE,"WMEEJ3BA9EK734790","austin",-97.7841,30.26449,0,"2015-12-07 15:15:48","78746"
"5816","Town Creek Dr 1390, 78741 Austin",NA,"CE","GOOD",100,"GOOD","FHB 2847",FALSE,"WMEEJ3BA4FK802009","austin",-97.7266,30.24282,0,"2015-12-07 15:15:48","78741"
"5857","Giles St 1623, 78722 Austin",NA,"CE","UNACCEPTABLE",100,"GOOD","FBV 4389",FALSE,"WMEEJ3BA0FK799335","austin",-97.71385,30.29055,0,"2015-12-07 15:15:48","78722"
"5937","W 12th St 567, 78701 Austin",NA,"CE","GOOD",33,"GOOD","FBV 4492",FALSE,"WMEEJ3BA8FK802630","austin",-97.74589,30.27526,0,"2015-12-07 15:15:48","78701"
"5953","Longview St 2518, 78705 Austin",NA,"CE","UNACCEPTABLE",21,"UNACCEPTABLE","CSG 1542",FALSE,"WMEEJ3BA2EK733240","austin",-97.75068,30.29001,0,"2015-12-07 15:15:48","78705"
"5955","Campbell St 521, 78703 Austin",NA,"CE","GOOD",100,"GOOD","FGZ 9137",FALSE,"WMEEJ3BA1FK802176","austin",-97.76463,30.27507,0,"2015-12-07 15:15:48","78703"
"6047","Barton Springs Rd 337, 78704 Austin",NA,"CE","GOOD",39,"GOOD","CSF 8919",FALSE,"WMEEJ3BA0EK733883","austin",-97.74797,30.25872,0,"2015-12-07 15:20:49","78704"
"6108","2nd and Colorado",NA,"CE","GOOD",63,"GOOD","CSF 8927",FALSE,"WMEEJ3BA1EK734332","austin",-97.74578,30.26481,0,"2015-12-07 15:20:49","78701"
"6243","W 45th St 753, 78751 Austin",NA,"CE","GOOD",66,"GOOD","FGZ 8625",FALSE,"WMEEJ3BA2FK802588","austin",-97.73553,30.31104,0,"2015-12-07 15:20:49","78751"
"6265","Mary St W 103, 78704 Austin",NA,"CE","GOOD",96,"GOOD","FBV 4370",FALSE,"WMEEJ3BAXFK798967","austin",-97.75195,30.24494,0,"2015-12-07 15:20:49","78704"
"6368","E 10th St 224, 78701 Austin",NA,"CE","GOOD",60,"GOOD","FJC 9928",FALSE,"WMEEJ3BA6FK801251","austin",-97.73968,30.27135,0,"2015-12-07 15:25:49","78701"
"6383","E 51st St 1757, 78723 Austin",NA,"CE","GOOD",66,"GOOD","CSF 8924",FALSE,"WMEEJ3BA1EK733228","austin",-97.69969,30.30177,0,"2015-12-07 15:25:49","78723"
"6420","Esperanza Xing 3139, 78758 Austin",NA,"CE","GOOD",51,"GOOD","FGZ 8623",FALSE,"WMEEJ3BA4FK802835","austin",-97.72273,30.39933,0,"2015-12-07 15:25:49","78758"
"6421","Kings Ln 3292, 78705 Austin",NA,"CE","GOOD",27,"GOOD","FHB 1327",FALSE,"WMEEJ3BAXFK801754","austin",-97.74238,30.30081,0,"2015-12-07 15:25:49","78705"
"6468","Spyglass Dr 1813, 78746 Austin",NA,"CE","GOOD",90,"GOOD","FBV 4387",FALSE,"WMEEJ3BA9FK799480","austin",-97.7912,30.2591,0,"2015-12-07 15:25:49","78746"
"6572","W 3rd St 920, 78703 Austin",NA,"CE","GOOD",54,"GOOD","FGZ 8689",FALSE,"WMEEJ3BAXFK802161","austin",-97.754,30.26874,0,"2015-12-07 15:25:49","78703"
"6838","Herndon Ln 803, 78704 Austin",NA,"CE","GOOD",100,"GOOD","CSG 2238",FALSE,"WMEEJ3BA1EK734993","austin",-97.76315,30.24028,0,"2015-12-07 15:30:49","78704"
"6925","Willow Creek Dr 1956, 78741 Austin",NA,"CE","GOOD",100,"GOOD","CK9 T286",FALSE,"WMEEJ3BA4AK416926","austin",-97.72921,30.23265,0,"2015-12-07 15:35:49","78741"
"7207","The Connection",NA,"CE","GOOD",60,"GOOD","FHB 2830",FALSE,"WMEEJ3BAXFK800670","austin",-97.72642,30.22726,0,"2015-12-07 15:35:49","78741"
"7210","Bouldin Ave 702, 78704 Austin",NA,"CE","GOOD",72,"GOOD","FHB 1328",FALSE,"WMEEJ3BA0FK801701","austin",-97.75477,30.25766,0,"2015-12-07 15:35:49","78704"
"7282","E 4th St 210, 78701 Austin",NA,"CE","GOOD",48,"GOOD","FGZ 8626",FALSE,"WMEEJ3BA6FK802495","austin",-97.74162,30.26577,0,"2015-12-07 15:40:49","78701"
"7313","E 2nd St 1267, 78702 Austin",NA,"CE","GOOD",51,"GOOD","FJC 9789",FALSE,"WMEEJ3BAXFK802211","austin",-97.73151,30.26051,0,"2015-12-07 15:40:49","78702"
"7375","Hollow Creek Dr 1364, 78704 Austin",NA,"CE","GOOD",72,"GOOD","FBV 4433",FALSE,"WMEEJ3BAXFK799391","austin",-97.77504,30.26107,0,"2015-12-07 15:40:49","78704"
"7414","Shoal Creek Blvd 1678, 78701 Austin",NA,"CE","GOOD",57,"GOOD","FJC 9926",FALSE,"WMEEJ3BA2FK801196","austin",-97.7506,30.28231,0,"2015-12-07 15:40:49","78701"
"7464","Rio Grande St 966, 78701 Austin",NA,"CE","GOOD",12,"GOOD","FHB 1332",FALSE,"WMEEJ3BAXFK801057","austin",-97.7482,30.27333,0,"2015-12-07 15:40:49","78701"
"7570","Campbell St 524, 78703 Austin",NA,"CE","GOOD",36,"GOOD","FHB 0248",FALSE,"WMEEJ3BA6FK802643","austin",-97.76467,30.27509,0,"2015-12-07 15:45:49","78703"
"7584","The Parking Spot",NA,"CE","GOOD",100,"GOOD","FBV 4432",FALSE,"WMEEJ3BA2FK799417","austin",-97.67598,30.22049,0,"2015-12-07 15:45:49","78719"
"7757","Brazos St 1851, 78701 Austin",NA,"CE","GOOD",60,"GOOD","FGZ 9139",FALSE,"WMEEJ3BA5FK800396","austin",-97.7369,30.27984,0,"2015-12-07 15:45:49","78701"
"7855","Rio Grande St 324, 78701 Austin",NA,"CE","UNACCEPTABLE",54,"GOOD","CZT 0999",FALSE,"WMEEJ3BA4EK748886","austin",-97.75009,30.26828,0,"2015-12-07 15:50:49","78701"
"7900","Red River St 2118, 78705 Austin",NA,"CE","GOOD",96,"GOOD","FBV 4384",FALSE,"WMEEJ3BA8FK799440","austin",-97.72877,30.28235,0,"2015-12-07 15:50:49","78705"
"7950","Penick Dr 5767, 78741 Austin",NA,"CE","GOOD",30,"GOOD","FJC 9791",FALSE,"WMEEJ3BA0FK802055","austin",-97.70882,30.22871,0,"2015-12-07 15:50:49","78741"
"7958","Sheringham Dr 4483, 78741 Austin",NA,"CE","GOOD",33,"GOOD","FTD 8882",FALSE,"WMEEJ3BA2FK802980","austin",-97.72304,30.22954,0,"2015-12-07 15:50:49","78741"
"7965","Simond Ave 1923, 78723 Austin",NA,"CE","UNACCEPTABLE",27,"GOOD","FBV 4357",FALSE,"WMEEJ3BA8FK798160","austin",-97.70407,30.29683,0,"2015-12-07 15:50:49","78723"
"7967","ACC Eastview Campus",NA,"CE","GOOD",100,"GOOD","FBV 4389",FALSE,"WMEEJ3BA0FK799335","austin",-97.70532,30.26726,0,"2015-12-07 15:50:49","78702"
"7982","Dean Keaton and Whitis",NA,"CE","GOOD",90,"GOOD","FJC 9938",FALSE,"WMEEJ3BA3FK801871","austin",-97.74003,30.28978,0,"2015-12-07 15:50:49","78705"
"7990","W 6th St 413, 78701 Austin",NA,"CE","GOOD",63,"GOOD","FJC 9779",FALSE,"WMEEJ3BA0FK802847","austin",-97.74642,30.2691,0,"2015-12-07 15:50:49","78701"
"8024","Br Reynolds Dr, 78703 Austin",NA,"CE","GOOD",72,"GOOD","CZS 9749",FALSE,"WMEEJ3BA2EK748112","austin",-97.75603,30.2682,0,"2015-12-07 15:50:49","78703"
"8080","E 5th St 2315, 78702 Austin",NA,"CE","GOOD",36,"GOOD","CZS 9746",FALSE,"WMEEJ3BA2EK748448","austin",-97.71692,30.25854,0,"2015-12-07 15:50:49","78702"
"8200","Dean Keaton and Whitis",NA,"CE","GOOD",72,"UNACCEPTABLE","FJC 9785",FALSE,"WMEEJ3BA3FK802518","austin",-97.74003,30.28978,0,"2015-12-07 15:55:49","78705"
"8405","2nd and Colorado",NA,"CE","GOOD",24,"GOOD","FHB 1676",FALSE,"WMEEJ3BA6FK802724","austin",-97.74578,30.26481,0,"2015-12-07 15:55:49","78701"
"8415","E 3rd St 127, 78701 Austin",NA,"CE","GOOD",30,"GOOD","FBV 4391",FALSE,"WMEEJ3BA0FK799271","austin",-97.74349,30.26517,0,"2015-12-07 16:00:49","78701"
"8419","W 25th St 553, 78705 Austin",NA,"CE","GOOD",30,"UNACCEPTABLE","FHB 2825",FALSE,"WMEEJ3BA4FK802818","austin",-97.74258,30.28911,0,"2015-12-07 16:00:49","78705"
"8421","Congress Ave 459, 78701 Austin",NA,"CE","GOOD",48,"UNACCEPTABLE","FJC 9927",FALSE,"WMEEJ3BA8FK801218","austin",-97.7432,30.26675,0,"2015-12-07 16:00:49","78701"
"8580","Brazos St 621, 78701 Austin",NA,"CE","GOOD",36,"GOOD","FJC 9935",FALSE,"WMEEJ3BAXFK801690","austin",-97.74133,30.2679,0,"2015-12-07 16:00:49","78701"
"8699","E 10th St 424, 78701 Austin",NA,"CE","GOOD",33,"GOOD","CSF 9062",FALSE,"WMEEJ3BA7EK733718","austin",-97.73766,30.27079,0,"2015-12-07 16:00:49","78701"
"8706","Whole Foods Market - Garage Ground Level",NA,"CE","GOOD",81,"UNACCEPTABLE","CZT 1033",FALSE,"WMEEJ3BA9EK748513","austin",-97.7531,30.27087,0,"2015-12-07 16:00:49","78703"
"8891","Wickersham Ln 2273, 78741 Austin",NA,"CE","GOOD",24,"GOOD","FFD 6224",FALSE,"WMEEJ3BA6FK801606","austin",-97.72135,30.22833,0,"2015-12-07 16:05:50","78741"
"9003","Campbell St 546, 78703 Austin",NA,"CE","GOOD",100,"GOOD","FBV 4372",FALSE,"WMEEJ3BA2FK798591","austin",-97.76449,30.27534,0,"2015-12-07 16:05:50","78703"
"9036","Manor Rd 3785, 78723 Austin",NA,"CE","GOOD",93,"GOOD","FJD 0200",FALSE,"WMEEJ3BA4FK802866","austin",-97.69533,30.29,0,"2015-12-07 16:10:50","78723"
"9095","San Marcos St 254, 78702 Austin",NA,"CE","GOOD",42,"UNACCEPTABLE","CZS 9750",FALSE,"WMEEJ3BA7EK748543","austin",-97.73395,30.26202,0,"2015-12-07 16:10:50","78702"
"9150","Caney St 232, 78702 Austin",NA,"CE","GOOD",100,"GOOD","CZT 0934",FALSE,"WMEEJ3BA9EK749595","austin",-97.72119,30.25731,0,"2015-12-07 16:10:50","78702"
"9275","Parker Ln 1723, 78741 Austin",NA,"CE","GOOD",48,"GOOD","FHB 2840",FALSE,"WMEEJ3BA4FK801815","austin",-97.73232,30.23882,0,"2015-12-07 16:10:50","78741"
"9354","W 55 1/2 St 527, 78751 Austin",NA,"CE","GOOD",39,"GOOD","CSF 8919",FALSE,"WMEEJ3BA0EK733883","austin",-97.72378,30.3227,0,"2015-12-07 16:15:50","78751"
"9432","Crestview Station",NA,"CE","GOOD",48,"GOOD","FBV 4381",FALSE,"WMEEJ3BA6FK799310","austin",-97.71947,30.33886,0,"2015-12-07 16:15:50","78752"
"9441","Skyway Cir 2874, 78704 Austin",NA,"CE","GOOD",87,"GOOD","CSF 9063",FALSE,"WMEEJ3BA4EK733319","austin",-97.78281,30.24478,0,"2015-12-07 16:15:50","78704"
