"","address","charging","engineType","exterior","fuel","interior","name","smartPhoneRequired","vin","City","Longitude","Latitude","Altitude","Time....Sys.time..","zip"
"28","E 13th St 2456, 78702 Austin",NA,"CE","GOOD",66,"GOOD","FBV 4354",FALSE,"WMEEJ3BA2FK799496","austin",-97.7146,30.27562,0,"2015-12-07 13:40:46","78702"
"30","E 9th St 276, 78701 Austin",NA,"CE","GOOD",57,"GOOD","FHB 1681",FALSE,"WMEEJ3BA0FK802167","austin",-97.73999,30.2705,0,"2015-12-07 13:40:46","78701"
"31","6th St S 2508, 78704 Austin",NA,"CE","GOOD",54,"GOOD","FGZ 8802",FALSE,"WMEEJ3BA5FK801502","austin",-97.76596,30.24208,0,"2015-12-07 13:40:46","78704"
"32","The Parking Spot",NA,"CE","GOOD",100,"GOOD","FHB 2838",FALSE,"WMEEJ3BA0FK800578","austin",-97.67598,30.22049,0,"2015-12-07 13:40:46","78719"
"33","West Ave 1390, 78701 Austin",NA,"CE","GOOD",100,"GOOD","FHB 2826",FALSE,"WMEEJ3BAXFK802547","austin",-97.74769,30.27818,0,"2015-12-07 13:40:46","78701"
"34","E 43rd St 631, 78751 Austin",NA,"CE","GOOD",33,"GOOD","FHB 0204",FALSE,"WMEEJ3BA1FK802193","austin",-97.72402,30.30368,0,"2015-12-07 13:40:46","78751"
"35","Lavaca St 722, 78701 Austin",NA,"CE","GOOD",69,"GOOD","FBV 4468",FALSE,"WMEEJ3BA2FK802378","austin",-97.74484,30.2699,0,"2015-12-07 13:40:46","78701"
"36","W 11th St 1805, 78703 Austin",NA,"CE","GOOD",24,"GOOD","CYL 4630",FALSE,"WMEEJ3BA9EK749032","austin",-97.76347,30.28183,0,"2015-12-07 13:40:46","78703"
"38","CARTS",NA,"CE","GOOD",42,"GOOD","FHB 2899",FALSE,"WMEEJ3BA0FK800676","austin",-97.72061,30.26114,0,"2015-12-07 13:40:46","78702"
"39","West Ave 1662, 78701 Austin",NA,"CE","GOOD",36,"GOOD","FHB 1337",FALSE,"WMEEJ3BA6FK800391","austin",-97.74678,30.28065,0,"2015-12-07 13:40:46","78701"
"40","Barton Springs Rd 303, 78704 Austin",NA,"CE","GOOD",90,"GOOD","FBV 4440",FALSE,"WMEEJ3BAXFK799245","austin",-97.74771,30.25877,0,"2015-12-07 13:40:46","78704"
"41","Sterzing St 436, 78704 Austin",NA,"CE","GOOD",72,"GOOD","CSF 8935",FALSE,"WMEEJ3BA5EK734592","austin",-97.76323,30.26448,0,"2015-12-07 13:40:46","78704"
"42","Rio Grande St 324, 78701 Austin",NA,"CE","UNACCEPTABLE",54,"GOOD","CZT 0999",FALSE,"WMEEJ3BA4EK748886","austin",-97.75009,30.26828,0,"2015-12-07 13:40:46","78701"
"43","Annie St W 183, 78704 Austin",NA,"CE","UNACCEPTABLE",66,"UNACCEPTABLE","DBW 2627",FALSE,"WMEEJ3BA3EK748698","austin",-97.75189,30.24639,0,"2015-12-07 13:40:46","78704"
"44","Brazos St 574, 78701 Austin",NA,"CE","GOOD",42,"GOOD","CSF 8919",FALSE,"WMEEJ3BA0EK733883","austin",-97.7416,30.2675,0,"2015-12-07 13:40:46","78701"
"45","Brazos St 575, 78701 Austin",NA,"CE","GOOD",87,"GOOD","FBV 4358",FALSE,"WMEEJ3BA2FK798395","austin",-97.7415,30.26747,0,"2015-12-07 13:40:46","78701"
"46","One Highland Center",NA,"CE","GOOD",24,"GOOD","FGZ 8629",FALSE,"WMEEJ3BA9FK802300","austin",-97.71164,30.32867,0,"2015-12-07 13:40:46","78752"
"47","Paramount Ave 2032, 78704 Austin",NA,"CE","GOOD",30,"UNACCEPTABLE","FHB 0200",FALSE,"WMEEJ3BA7FK801825","austin",-97.77711,30.25249,0,"2015-12-07 13:40:46","78704"
"48","Willow St 2767, 78702 Austin",NA,"CE","UNACCEPTABLE",81,"GOOD","FGZ 8680",FALSE,"WMEEJ3BA5FK802696","austin",-97.71358,30.25235,0,"2015-12-07 13:40:46","78702"
"50","W 7th St 418, 78701 Austin",NA,"CE","GOOD",75,"GOOD","CYL 4639",FALSE,"WMEEJ3BA8EK748891","austin",-97.74621,30.27011,0,"2015-12-07 13:40:46","78701"
"51","E 4th St 2769, 78702 Austin",NA,"CE","GOOD",100,"GOOD","CK9 T285",FALSE,"WMEEJ3BA6AK417916","austin",-97.71178,30.25562,0,"2015-12-07 13:40:46","78702"
"53","James St W 193, 78704 Austin",NA,"CE","GOOD",39,"GOOD","CSF 9074",FALSE,"WMEEJ3BA8EK732979","austin",-97.7498,30.2513,0,"2015-12-07 13:40:46","78704"
"54","Capital Metro Downtown Station",NA,"CE","UNACCEPTABLE",93,"GOOD","FBV 4469",FALSE,"WMEEJ3BA2FK802400","austin",-97.73939,30.26512,0,"2015-12-07 13:40:46","78701"
"55","E Oltorf St 4924, 78741 Austin",NA,"CE","UNACCEPTABLE",63,"UNACCEPTABLE","CSF 9065",FALSE,"WMEEJ3BA0EK734533","austin",-97.72156,30.22298,0,"2015-12-07 13:40:46","78741"
"56","Clay Ave 5470, 78756 Austin",NA,"CE","GOOD",21,"GOOD","FBV 4474",FALSE,"WMEEJ3BA1FK802940","austin",-97.73943,30.32841,0,"2015-12-07 13:40:46","78756"
"57","Coleman St 169, 78704 Austin",NA,"CE","GOOD",75,"GOOD","FGZ 8681",FALSE,"WMEEJ3BA2FK802719","austin",-97.76036,30.2315,0,"2015-12-07 13:40:46","78704"
"58","2nd and Colorado",NA,"CE","UNACCEPTABLE",72,"UNACCEPTABLE","CSF 8920",FALSE,"WMEEJ3BA8EK733792","austin",-97.74578,30.26481,0,"2015-12-07 13:40:46","78701"
"59","Post Oak St 700, 78704 Austin",NA,"CE","GOOD",33,"GOOD","CSF 9192",FALSE,"WMEEJ3BA3EK734008","austin",-97.75223,30.25741,0,"2015-12-07 13:40:46","78704"
"60","W 17th St 213, 78701 Austin",NA,"CE","GOOD",90,"GOOD","CZT 0993",FALSE,"WMEEJ3BA6EK748081","austin",-97.74053,30.27918,0,"2015-12-07 13:40:46","78701"
"61","E 10th St 224, 78701 Austin",NA,"CE","GOOD",60,"GOOD","FJC 9928",FALSE,"WMEEJ3BA6FK801251","austin",-97.73968,30.27135,0,"2015-12-07 13:40:46","78701"
"62","W 5th St 471, 78701 Austin",NA,"CE","GOOD",24,"GOOD","CZS 9747",FALSE,"WMEEJ3BA1EK748201","austin",-97.74739,30.26826,0,"2015-12-07 13:40:46","78701"
"63","Kinney Ave 1139, 78704 Austin",NA,"CE","GOOD",42,"GOOD","FHB 1680",FALSE,"WMEEJ3BA6FK802237","austin",-97.76571,30.25612,0,"2015-12-07 13:40:46","78704"
"65","Rabb Glen St 2159, 78704 Austin",NA,"CE","GOOD",84,"GOOD","CSF 9196",FALSE,"WMEEJ3BAXEK733812","austin",-97.77819,30.25014,0,"2015-12-07 13:40:46","78704"
"66","E 4th St 210, 78701 Austin",NA,"CE","GOOD",48,"GOOD","FGZ 8626",FALSE,"WMEEJ3BA6FK802495","austin",-97.74162,30.26577,0,"2015-12-07 13:40:46","78701"
"67","Tonkawa Trl 3801, 78756 Austin",NA,"CE","UNACCEPTABLE",51,"UNACCEPTABLE","CSF 9200",FALSE,"WMEEJ3BA4EK734941","austin",-97.74627,30.30629,0,"2015-12-07 13:40:46","78756"
"68","Nickerson St 1756, 78704 Austin",NA,"CE","GOOD",100,"GOOD","FHB 2867",FALSE,"WMEEJ3BA3FK802535","austin",-97.74971,30.246,0,"2015-12-07 13:40:46","78704"
"69","The Parking Spot",NA,"CE","GOOD",100,"GOOD","FBV 4432",FALSE,"WMEEJ3BA2FK799417","austin",-97.67598,30.22049,0,"2015-12-07 13:40:46","78719"
"70","The Parking Spot",NA,"CE","GOOD",100,"GOOD","CSG 2237",FALSE,"WMEEJ3BA0EK736105","austin",-97.67598,30.22049,0,"2015-12-07 13:40:46","78719"
"72","N Lamar Blvd 4406, 78756 Austin",NA,"CE","GOOD",39,"GOOD","FBV 4376",FALSE,"WMEEJ3BA9FK800031","austin",-97.73882,30.31278,0,"2015-12-07 13:40:46","78756"
"73","The Parking Spot",NA,"CE","GOOD",100,"GOOD","CK9 T304",FALSE,"WMEEJ3BA8AK417836","austin",-97.67598,30.22049,0,"2015-12-07 13:40:46","78719"
"74","E 51st St 1757, 78723 Austin",NA,"CE","GOOD",66,"GOOD","CSF 8924",FALSE,"WMEEJ3BA1EK733228","austin",-97.69969,30.30177,0,"2015-12-07 13:40:46","78723"
"76","Baylor St 534, 78703 Austin",NA,"CE","GOOD",45,"GOOD","CSG 1544",FALSE,"WMEEJ3BA6EK734861","austin",-97.75587,30.27134,0,"2015-12-07 13:40:46","78703"
"77","Parker Ln 1507, 78741 Austin",NA,"CE","GOOD",51,"GOOD","CK9 T262",FALSE,"WMEEJ3BA1AK418066","austin",-97.73106,30.24075,0,"2015-12-07 13:40:46","78741"
"78","The Parking Spot",NA,"CE","GOOD",100,"GOOD","FBV 4476",FALSE,"WMEEJ3BA3FK802826","austin",-97.67598,30.22049,0,"2015-12-07 13:40:46","78719"
"79","Kramer Station - Brockton Dr",NA,"CE","GOOD",84,"GOOD","FHB 2869",FALSE,"WMEEJ3BAXFK802600","austin",-97.71756,30.39338,0,"2015-12-07 13:40:46","78758"
"80","W 7th St 476, 78701 Austin",NA,"CE","GOOD",18,"GOOD","FHB 2828",FALSE,"WMEEJ3BA6FK802772","austin",-97.74675,30.27026,0,"2015-12-07 13:40:46","78701"
"81","The Parking Spot",NA,"CE","GOOD",36,"GOOD","CSF 9060",FALSE,"WMEEJ3BA8EK732917","austin",-97.67598,30.22049,0,"2015-12-07 13:40:46","78719"
"82","W 5th St 173, 78701 Austin",NA,"CE","GOOD",60,"GOOD","FJC 9787",FALSE,"WMEEJ3BA7FK802439","austin",-97.74413,30.26737,0,"2015-12-07 13:40:46","78701"
"83","Dean Keaton and Whitis",NA,"CE","GOOD",72,"UNACCEPTABLE","FJC 9785",FALSE,"WMEEJ3BA3FK802518","austin",-97.74003,30.28978,0,"2015-12-07 13:40:46","78705"
"84","W 24 1/2 St 755, 78705 Austin",NA,"CE","GOOD",42,"GOOD","CZS 9750",FALSE,"WMEEJ3BA7EK748543","austin",-97.74439,30.28854,0,"2015-12-07 13:40:46","78705"
"85","Grover Ave 4871, 78756 Austin",NA,"CE","GOOD",15,"GOOD","FBV 4426",FALSE,"WMEEJ3BAXFK799536","austin",-97.73646,30.31914,0,"2015-12-07 13:40:46","78756"
"86","Red River St 2118, 78705 Austin",NA,"CE","GOOD",96,"GOOD","FBV 4384",FALSE,"WMEEJ3BA8FK799440","austin",-97.72877,30.28235,0,"2015-12-07 13:40:46","78705"
"87","St. Edward's Parking",NA,"CE","GOOD",39,"GOOD","FBV 4394",FALSE,"WMEEJ3BAXFK799231","austin",-97.7513,30.22659,0,"2015-12-07 13:40:46","78704"
"89","S 1st St 3586, 78704 Austin",NA,"CE","GOOD",100,"GOOD","FHB 1678",FALSE,"WMEEJ3BA9FK802457","austin",-97.76705,30.23097,0,"2015-12-07 13:40:46","78704"
"90","Academy Dr 181, 78704 Austin",NA,"CE","GOOD",100,"GOOD","FBV 4395",FALSE,"WMEEJ3BA9FK799219","austin",-97.74676,30.25172,0,"2015-12-07 13:40:46","78704"
"91","W 6th St 332, 78701 Austin",NA,"CE","GOOD",36,"GOOD","CZT 0923",FALSE,"WMEEJ3BA1EK748313","austin",-97.74555,30.26886,0,"2015-12-07 13:40:46","78701"
"93","San Jacinto Blvd 565, 78701 Austin",NA,"CE","UNACCEPTABLE",100,"GOOD","FHB 1677",FALSE,"WMEEJ3BA0FK802461","austin",-97.74041,30.26709,0,"2015-12-07 13:40:46","78701"
"94","San Antonio St 2147, 78705 Austin",NA,"CE","GOOD",24,"GOOD","CK9 T283",FALSE,"WMEEJ3BA3AK417209","austin",-97.74259,30.28443,0,"2015-12-07 13:40:46","78705"
"95","W 9th St 1545, 78703 Austin",NA,"CE","GOOD",93,"GOOD","FGZ 8805",FALSE,"WMEEJ3BA7FK800304","austin",-97.76022,30.27729,0,"2015-12-07 13:40:46","78703"
"96","Capital Metro Downtown Station",NA,"CE","GOOD",39,"GOOD","FHB 1335",FALSE,"WMEEJ3BAXFK800510","austin",-97.73939,30.26512,0,"2015-12-07 13:40:46","78701"
"97","The Canopy",NA,"CE","GOOD",60,"GOOD","CSF 9071",FALSE,"WMEEJ3BAXEK734569","austin",-97.69811,30.26199,0,"2015-12-07 13:40:46","78702"
"98","The Parking Spot",NA,"CE","GOOD",39,"GOOD","FJC 9783",FALSE,"WMEEJ3BA3FK802678","austin",-97.67598,30.22049,0,"2015-12-07 13:40:46","78719"
"99","Northwestern Ave 668, 78702 Austin",NA,"CE","GOOD",54,"GOOD","FJC 9789",FALSE,"WMEEJ3BAXFK802211","austin",-97.71488,30.26146,0,"2015-12-07 13:40:46","78702"
"100","Brazos St 634, 78701 Austin",NA,"CE","GOOD",36,"GOOD","CK9 T281",FALSE,"WMEEJ3BA4AK417428","austin",-97.74141,30.26804,0,"2015-12-07 13:40:46","78701"
"102","2nd and Colorado",NA,"CE","GOOD",63,"GOOD","CSF 8927",FALSE,"WMEEJ3BA1EK734332","austin",-97.74578,30.26481,0,"2015-12-07 13:40:46","78701"
"103","Riverside Farms Rd 2376, 78741 Austin",NA,"CE","GOOD",100,"GOOD","FHB 0203",FALSE,"WMEEJ3BA6FK802268","austin",-97.71792,30.22488,0,"2015-12-07 13:40:46","78741"
"104","Drake Ave 1644, 78704 Austin",NA,"CE","GOOD",81,"UNACCEPTABLE","CSG 1520",FALSE,"WMEEJ3BA2EK735456","austin",-97.74763,30.24671,0,"2015-12-07 13:40:46","78704"
"105","E 4th St 347, 78701 Austin",NA,"CE","GOOD",100,"GOOD","CZS 9748",FALSE,"WMEEJ3BA4EK748175","austin",-97.74061,30.26533,0,"2015-12-07 13:40:46","78701"
"106","W 9th St 257, 78701 Austin",NA,"CE","GOOD",54,"GOOD","CZT 0920",FALSE,"WMEEJ3BA2EK748904","austin",-97.74371,30.27138,0,"2015-12-07 13:40:46","78701"
"108","Hillside Villas Apartments 1",NA,"CE","GOOD",45,"GOOD","FBV 4386",FALSE,"WMEEJ3BA9FK799544","austin",-97.72129,30.22831,0,"2015-12-07 13:40:46","78741"
"109","W 6th St 904, 78703 Austin",NA,"CE","GOOD",72,"GOOD","FGZ 8688",FALSE,"WMEEJ3BA6FK802707","austin",-97.7532,30.27134,0,"2015-12-07 13:40:46","78703"
"111","Esperanza Xing 3139, 78758 Austin",NA,"CE","GOOD",51,"GOOD","FGZ 8623",FALSE,"WMEEJ3BA4FK802835","austin",-97.72273,30.39933,0,"2015-12-07 13:40:46","78758"
"112","Kings Ln 3292, 78705 Austin",NA,"CE","GOOD",27,"GOOD","FHB 1327",FALSE,"WMEEJ3BAXFK801754","austin",-97.74238,30.30081,0,"2015-12-07 13:40:46","78705"
"113","Wallingwood Dr 2441, 78746 Austin",NA,"CE","GOOD",66,"GOOD","CSF 8933",FALSE,"WMEEJ3BA9EK734790","austin",-97.7841,30.26449,0,"2015-12-07 13:40:46","78746"
"114","S Pleasant Valley Rd 1237, 78741 Austin",NA,"CE","GOOD",100,"GOOD","FHB 2847",FALSE,"WMEEJ3BA4FK802009","austin",-97.718,30.23987,0,"2015-12-07 13:40:46","78741"
"115","Oak Crest Ave 2893, 78704 Austin",NA,"CE","GOOD",100,"GOOD","CSF 9068",FALSE,"WMEEJ3BA0EK733706","austin",-97.76446,30.23716,0,"2015-12-07 13:40:46","78704"
"116","Chicon St 347, 78702 Austin",NA,"CE","GOOD",81,"GOOD","CZT 1032",FALSE,"WMEEJ3BA3EK748295","austin",-97.72343,30.25946,0,"2015-12-07 13:40:46","78702"
"117","Brazos St 748, 78701 Austin",NA,"CE","GOOD",81,"GOOD","FBV 6124",FALSE,"WMEEJ3BA2FK799028","austin",-97.74098,30.26911,0,"2015-12-07 13:40:46","78701"
"118","Crestview Station",NA,"CE","GOOD",48,"GOOD","FBV 4381",FALSE,"WMEEJ3BA6FK799310","austin",-97.71947,30.33886,0,"2015-12-07 13:40:46","78752"
"119","LCRA - Trade Center Dr",NA,"CE","GOOD",100,"GOOD","FHB 0202",FALSE,"WMEEJ3BA6FK802271","austin",-97.71414,30.20749,0,"2015-12-07 13:40:46","78744"
"121","Rainey St 38, 78701 Austin",NA,"CE","GOOD",100,"GOOD","FBV 4355",FALSE,"WMEEJ3BA5FK798990","austin",-97.73975,30.25635,0,"2015-12-07 13:40:46","78701"
"122","Robert T Martinez Jr St 64, 78702 Austin",NA,"CE","GOOD",36,"GOOD","FBV 4365",FALSE,"WMEEJ3BA2FK799675","austin",-97.72223,30.25254,0,"2015-12-07 13:40:46","78702"
"123","Medina St 678, 78702 Austin",NA,"CE","GOOD",42,"GOOD","FJC 9788",FALSE,"WMEEJ3BA6FK802318","austin",-97.73121,30.2655,0,"2015-12-07 13:40:46","78702"
"124","South Congress Commons - 126 W Alpine Rd - 2 Spots",NA,"CE","GOOD",100,"GOOD","FJD 0198",FALSE,"WMEEJ3BA8FK802899","austin",-97.76188,30.22849,0,"2015-12-07 13:40:46","78704"
"125","Dean Keaton and Whitis",NA,"CE","GOOD",72,"GOOD","FBV 4379",FALSE,"WMEEJ3BA7FK799235","austin",-97.74003,30.28978,0,"2015-12-07 13:40:46","78705"
"126","Willowrun Dr 3481, 78704 Austin",NA,"CE","GOOD",90,"GOOD","CSF 9063",FALSE,"WMEEJ3BA4EK733319","austin",-97.75348,30.22562,0,"2015-12-07 13:40:46","78704"
"127","Grove Blvd 1219, 78741 Austin",NA,"CE","GOOD",96,"GOOD","FHB 2866",FALSE,"WMEEJ3BAXFK802502","austin",-97.70477,30.23414,0,"2015-12-07 13:40:46","78741"
"128","One Texas Center",NA,"CE","GOOD",100,"GOOD","FFD 7834",FALSE,"WMEEJ3BA7FK803221","austin",-97.74942,30.25811,0,"2015-12-07 13:40:46","78704"
"130","S Mo-Pac Expy, 78746 Austin",NA,"CE","GOOD",63,"GOOD","FJC 9925",FALSE,"WMEEJ3BAXFK800989","austin",-97.77258,30.2721,0,"2015-12-07 13:40:46","78746"
"132","Sabina Apartments",NA,"CE","GOOD",87,"GOOD","CZT 0998",FALSE,"WMEEJ3BA3EK748071","austin",-97.72252,30.29244,0,"2015-12-07 13:40:46","78705"
"133","Crestview Station",NA,"CE","GOOD",21,"GOOD","FJD 0197",FALSE,"WMEEJ3BA2FK803045","austin",-97.71947,30.33886,0,"2015-12-07 13:40:46","78752"
"134","E 8th St 179, 78701 Austin",NA,"CE","GOOD",48,"GOOD","FHB 1550",FALSE,"WMEEJ3BA0FK801746","austin",-97.74108,30.26959,0,"2015-12-07 13:40:46","78701"
"136","Caney St 232, 78702 Austin",NA,"CE","GOOD",100,"GOOD","CZT 0934",FALSE,"WMEEJ3BA9EK749595","austin",-97.72119,30.25731,0,"2015-12-07 13:40:46","78702"
"137","Bowie St 572, 78703 Austin",NA,"CE","GOOD",100,"GOOD","CK9 T295",FALSE,"WMEEJ3BA6AK416751","austin",-97.75268,30.27067,0,"2015-12-07 13:40:46","78703"
"138","Penick Dr 5767, 78741 Austin",NA,"CE","GOOD",30,"GOOD","FJC 9791",FALSE,"WMEEJ3BA0FK802055","austin",-97.70882,30.22871,0,"2015-12-07 13:40:46","78741"
"139","The Parking Spot",NA,"CE","GOOD",45,"GOOD","FHB 2835",FALSE,"WMEEJ3BA7FK802103","austin",-97.67598,30.22049,0,"2015-12-07 13:40:46","78719"
"140","Dean Keaton and Whitis",NA,"CE","UNACCEPTABLE",27,"UNACCEPTABLE","FBV 4477",FALSE,"WMEEJ3BA3FK803068","austin",-97.74003,30.28978,0,"2015-12-07 13:40:46","78705"
"141","San Jacinto Blvd 360, 78701 Austin",NA,"CE","GOOD",54,"GOOD","FBV 4488",FALSE,"WMEEJ3BAXFK802998","austin",-97.74139,30.26524,0,"2015-12-07 13:40:46","78701"
"144","W 25th St 441, 78705 Austin",NA,"CE","GOOD",24,"GOOD","FBV 4363",FALSE,"WMEEJ3BA4FK799595","austin",-97.74174,30.28905,0,"2015-12-07 13:40:46","78705"
"146","Sheringham Dr 4483, 78741 Austin",NA,"CE","GOOD",33,"GOOD","FTD 8882",FALSE,"WMEEJ3BA2FK802980","austin",-97.72304,30.22954,0,"2015-12-07 13:40:46","78741"
"148","W 29th St 512, 78705 Austin",NA,"CE","GOOD",48,"GOOD","FJC 9934",FALSE,"WMEEJ3BA2FK801568","austin",-97.74187,30.2951,0,"2015-12-07 13:40:46","78705"
"149","Lareina Dr 4484, 78745 Austin",NA,"CE","GOOD",63,"GOOD","CSF 9195",FALSE,"WMEEJ3BA4EK734809","austin",-97.77142,30.21857,0,"2015-12-07 13:40:46","78745"
"150","Dean Keaton and Whitis",NA,"CE","GOOD",96,"UNACCEPTABLE","CSF 8931",FALSE,"WMEEJ3BA9EK733784","austin",-97.74003,30.28978,0,"2015-12-07 13:40:46","78705"
"151","Rosewood Ave 1344, 78702 Austin",NA,"CE","GOOD",66,"GOOD","FHB 1336",FALSE,"WMEEJ3BA0FK800404","austin",-97.72502,30.26879,0,"2015-12-07 13:40:46","78702"
"152","Merle Dr 4476, 78745 Austin",NA,"CE","UNACCEPTABLE",66,"GOOD","FBV 4493",FALSE,"WMEEJ3BA7FK802330","austin",-97.78817,30.228,0,"2015-12-07 13:40:46","78745"
"153","Dean Keaton and Whitis",NA,"CE","GOOD",27,"GOOD","FBV 4357",FALSE,"WMEEJ3BA8FK798160","austin",-97.74003,30.28978,0,"2015-12-07 13:40:46","78705"
"154","Fairlawn Ln 1830, 78704 Austin",NA,"CE","GOOD",100,"GOOD","FBV 4385",FALSE,"WMEEJ3BA6FK799470","austin",-97.73963,30.24086,0,"2015-12-07 13:40:46","78704"
"155","Genard St 577, 78751 Austin",NA,"CE","GOOD",100,"GOOD","FBV 4389",FALSE,"WMEEJ3BA0FK799335","austin",-97.7273,30.31911,0,"2015-12-07 13:40:46","78751"
"156","E 9th St 309, 78701 Austin",NA,"CE","GOOD",45,"GOOD","FHB 2861",FALSE,"WMEEJ3BA5FK800771","austin",-97.73989,30.27028,0,"2015-12-07 13:40:46","78701"
"157","Terrell Hill Dr 671, 78704 Austin",NA,"CE","GOOD",96,"GOOD","FBV 4435",FALSE,"WMEEJ3BA5FK799380","austin",-97.76461,30.23586,0,"2015-12-07 13:40:46","78704"
"158","Crestview Station",NA,"CE","GOOD",42,"GOOD","CZT 0936",FALSE,"WMEEJ3BAXEK748911","austin",-97.71947,30.33886,0,"2015-12-07 13:40:46","78752"
